UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L70598,L,297.89,307.79,1522,19.17,238,1,1,0,1,0,0
2,H76399,H,298.56,308.51,1381,33.62,249,0,0,0,0,0,0
3,M37684,M,304.5,314.0,1958,26.61,67,0,0,0,0,0,0
4,L78591,L,300.27,310.4,1168,57.54,248,1,0,0,0,1,0
5,L87722,L,300.72,312.28,1863,29.76,133,0,0,0,0,0,0
6,L12682,L,297.56,310.05,1703,42.59,251,0,0,0,0,0,0
7,L48046,L,296.31,305.68,1401,47.09,121,0,0,0,0,0,0
8,M31832,M,298.36,310.33,1872,34.53,210,0,0,0,0,0,0
9,M26997,M,302.88,313.1,1288,55.37,59,0,0,0,0,0,0
10,M44640,M,300.67,311.72,1716,21.81,218,1,1,0,0,0,0
11,L86882,L,301.2,310.24,1168,42.48,243,0,0,0,0,0,0
12,H50491,H,301.48,312.7,1329,69.01,92,1,0,0,1,0,0
13,M73043,M,298.82,307.51,1328,22.58,117,1,0,1,1,0,0
14,L82725,L,302.78,313.79,1400,37.88,139,0,0,0,0,0,0
15,L55520,L,298.73,309.69,1537,41.71,165,0,0,0,0,0,0
16,L72919,L,302.81,313.7,1386,21.94,140,1,0,0,1,0,0
17,L74442,L,300.88,310.85,1168,39.81,251,0,0,0,0,0,0
18,L31770,L,296.42,307.67,1618,53.07,27,0,0,0,0,0,0
19,L57498,L,298.5,309.6,1544,38.69,4,0,0,0,0,0,0
20,L71477,L,296.43,306.92,1609,30.5,173,0,0,0,0,0,0
21,M10244,M,302.33,313.7,1566,38.51,45,0,0,0,0,0,0
22,L42788,L,299.95,310.55,1707,28.73,80,0,0,0,0,0,0
23,L89453,L,295.54,306.77,1521,53.78,154,0,0,0,0,0,0
24,L67737,L,300.75,311.33,1717,25.1,153,0,0,0,0,0,0
25,L56489,L,298.93,309.84,1395,35.69,245,0,0,0,0,0,0
26,M81303,M,297.03,308.31,1406,25.56,61,0,0,0,0,0,0
27,L38390,L,303.36,313.66,1783,29.77,195,0,0,0,0,0,0
28,L20247,L,300.21,309.68,1779,30.8,71,0,0,0,0,0,0
29,L79051,L,299.41,310.39,1638,45.43,89,0,0,0,0,0,0
30,L69719,L,299.2,311.09,1375,31.08,96,0,0,0,0,0,0
31,M44678,M,296.97,307.97,1360,47.21,127,0,0,0,0,0,0
32,L97802,L,297.39,308.41,1774,33.0,139,0,0,0,0,0,0
33,L86286,L,302.57,313.23,1764,17.11,204,1,1,0,1,0,0
34,H39583,H,299.05,310.49,1524,30.79,212,0,0,0,0,0,0
35,H18076,H,300.04,310.56,1957,23.68,179,0,0,0,0,0,0
36,M28006,M,295.91,306.16,1618,50.32,164,0,0,0,0,0,0
37,L25051,L,297.36,309.17,1336,48.75,152,0,0,0,0,0,0
38,L14314,L,301.22,311.39,1485,39.97,38,0,0,0,0,0,0
39,M38670,M,300.76,312.34,1536,3.8,194,1,0,0,1,0,0
40,L77551,L,303.51,314.0,1551,19.32,146,1,0,0,1,0,0
41,L20236,L,302.69,313.95,1760,38.48,70,0,0,0,0,0,0
42,L45568,L,299.54,308.99,1363,50.26,208,0,0,0,0,0,0
43,L70314,L,300.95,311.67,1295,36.02,76,0,0,0,0,0,0
44,H26352,H,299.37,309.86,1643,35.11,23,0,0,0,0,0,0
45,L55650,L,304.11,314.0,1444,39.26,178,0,0,0,0,0,0
46,M20346,M,302.3,313.14,1971,30.3,44,0,0,0,0,0,0
47,L35156,L,300.34,311.81,1705,30.48,7,0,0,0,0,0,0
48,L65904,L,300.4,310.64,1440,47.89,199,0,0,0,0,0,0
49,L24035,L,302.89,313.42,1753,41.72,172,0,0,0,0,0,0
50,L26108,L,301.16,311.62,1666,26.13,129,0,0,0,0,0,0
51,H12853,H,303.12,314.0,1649,24.37,157,0,0,0,0,0,0
52,M94156,M,295.61,306.06,1513,30.33,66,0,0,0,0,0,0
53,H14176,H,300.92,310.39,1611,36.01,172,0,0,0,0,0,0
54,M35920,M,298.97,308.1,1168,53.42,153,0,0,0,0,0,0
55,L64850,L,303.51,314.0,1772,38.71,16,0,0,0,0,0,0
56,H16829,H,303.09,313.03,1168,60.97,37,0,0,0,0,0,0
57,L83927,L,300.07,311.43,1455,42.93,66,0,0,0,0,0,0
58,L94860,L,303.07,312.44,1248,48.55,56,0,0,0,0,0,0
59,L50667,L,303.57,313.73,1445,56.0,160,0,0,0,0,0,0
60,L75842,L,300.15,309.52,1522,37.7,93,0,0,0,0,0,0
61,L45843,L,304.5,314.0,1320,49.82,206,0,0,0,0,0,0
62,L60808,L,299.94,311.29,1168,52.98,71,0,0,0,0,0,0
63,M40543,M,299.57,310.61,1572,34.86,93,0,0,0,0,0,0
64,L82780,L,301.73,311.35,1911,28.74,63,0,0,0,0,0,0
65,L16611,L,299.29,309.25,1472,51.8,22,0,0,0,0,0,0
66,L98242,L,300.17,311.1,1708,32.79,11,0,0,0,0,0,0
67,L94612,L,302.82,311.83,1806,28.93,102,0,0,0,0,0,0
68,M56902,M,300.04,310.5,1193,39.18,250,0,0,0,0,0,0
69,L43043,L,296.61,308.83,1453,43.61,239,0,0,0,0,0,0
70,H15271,H,300.73,311.25,1305,38.28,7,0,0,0,0,0,0
71,M82867,M,298.61,307.82,1390,44.64,200,0,0,0,0,0,0
72,L87089,L,301.73,311.82,1841,32.5,199,0,0,0,0,0,0
73,L68745,L,301.39,311.46,1575,32.49,37,0,0,0,0,0,0
74,M72077,M,302.94,314.0,1677,22.25,32,0,0,0,0,0,0
75,M69119,M,301.82,314.0,1527,27.87,175,0,0,0,0,0,0
76,M21573,M,302.18,313.61,1317,34.02,96,0,0,0,0,0,0
77,M31409,M,298.66,309.02,1657,25.9,44,0,0,0,0,0,0
78,L95970,L,301.61,313.51,1760,36.25,74,0,0,0,0,0,0
79,L34464,L,303.94,313.5,1592,55.14,150,1,0,0,1,0,0
80,L52840,L,298.62,310.4,1623,30.79,106,0,0,0,0,0,0
81,M58785,M,303.6,314.0,1313,39.45,242,0,0,0,0,0,0
82,M30662,M,298.9,309.45,1662,29.43,114,0,0,0,0,0,0
83,L28228,L,298.3,310.14,1777,39.15,42,0,0,0,0,0,0
84,L70721,L,300.59,310.85,1608,39.43,24,0,0,0,0,0,0
85,L59223,L,301.43,310.87,1212,47.09,14,0,0,0,0,0,0
86,L17386,L,301.82,313.5,1829,21.82,9,0,0,0,0,0,0
87,M16862,M,298.08,308.69,1365,31.82,147,0,0,0,0,0,0
88,M50108,M,300.87,312.17,1605,37.27,15,0,0,0,0,0,0
89,M85023,M,298.63,311.15,1707,35.45,98,0,0,0,0,0,0
90,L90140,L,297.02,307.0,1729,33.0,124,0,0,0,0,0,0
91,L92963,L,298.14,308.7,1211,55.18,97,0,0,0,0,0,0
92,M37201,M,298.5,310.77,1556,25.57,212,0,0,0,0,0,0
93,M78578,M,301.04,312.41,1544,39.92,56,0,0,0,0,0,0
94,L59966,L,302.3,312.3,1794,33.92,45,0,0,0,0,0,0
95,M64774,M,297.05,306.8,1618,26.94,110,0,0,0,0,0,0
96,L20386,L,300.7,310.88,1796,27.08,123,0,0,0,0,0,0
97,L87228,L,297.65,307.61,1632,41.19,247,0,0,0,0,0,0
98,L25225,L,301.26,312.2,1522,26.94,231,0,0,0,0,0,0
99,L26693,L,298.75,309.53,1570,58.98,128,1,0,0,1,0,0
100,L82197,L,297.9,308.88,1809,36.07,24,0,0,0,0,0,0
101,L53021,L,301.6,311.46,1302,43.39,55,0,0,0,0,0,0
102,M28261,M,298.83,309.46,1698,31.61,45,0,0,0,0,0,0
103,L37378,L,299.37,308.01,1422,48.23,186,0,0,0,0,0,0
104,L96755,L,295.56,306.41,1383,37.16,189,0,0,0,0,0,0
105,H21937,H,301.89,313.77,1719,30.24,205,0,0,0,0,0,0
106,L76330,L,301.64,310.92,1376,56.76,188,0,0,0,0,0,0
107,L57366,L,300.01,311.19,1603,31.53,210,0,0,0,0,0,0
108,M82322,M,296.94,307.03,1447,40.94,7,0,0,0,0,0,0
109,L50160,L,302.42,313.92,1168,39.73,40,0,0,0,0,0,0
110,L55313,L,298.67,309.53,1621,37.64,142,0,0,0,0,0,0
111,L37032,L,299.09,310.2,1558,42.12,43,0,0,0,0,0,0
112,L27358,L,304.5,314.0,1191,68.34,81,0,0,0,0,0,0
113,H71710,H,298.59,310.62,1409,31.13,254,0,0,0,0,0,0
114,M96157,M,301.48,312.53,1210,30.22,128,0,0,0,0,0,0
115,M58821,M,301.12,311.12,1667,32.08,110,0,0,0,0,0,0
116,M38365,M,300.78,311.58,1785,27.15,254,0,0,0,0,0,0
117,M23189,M,300.56,310.9,1688,33.81,224,0,0,0,0,0,0
118,L86749,L,300.75,311.62,1713,37.81,192,0,0,0,0,0,0
